item,0,1,2,3,4,5,6,7,8,9,10,11,12
26284786_271170423,0,0,0,0,0,0,0,0,1,0,0,0,7.0
48559665_248520830,1,0,0,0,0,0,0,0,0,0,0,0,58.0
38290283_178085849,1,0,0,0,0,0,0,0,0,0,0,0,53.0
5838500_273266822,0,0,0,0,0,0,0,0,1,0,0,0,12.0
56610204_81869419,0,0,0,0,1,0,0,0,0,0,0,0,33.0
54236099_84952550,0,0,0,0,0,0,0,0,1,0,0,0,14.0
6477443_338328951,0,0,0,0,1,0,0,0,0,0,0,0,34.0
55643672_260306464,0,0,0,0,0,0,0,0,1,0,0,0,1.0
26628496_98296827,0,0,0,0,1,0,0,0,0,0,0,0,30.0
106664165_327907895,0,0,0,0,1,0,0,0,0,0,0,0,38.0
2228206_81860302,0,0,0,0,1,0,0,0,0,0,0,0,25.0
111313168_266325386,0,0,0,0,0,0,0,0,1,0,0,0,5.0
48332781_291933335,0,0,0,0,0,0,0,0,1,0,0,0,23.0
28872347_244532214,1,0,0,0,0,0,0,0,0,0,0,0,51.0
4486844_95088733,0,0,0,0,0,0,0,0,1,0,0,0,8.0
13466895_79818965,0,0,0,0,0,0,0,0,1,0,0,0,10.0
125589239_160004396,0,0,0,0,1,0,0,0,0,0,0,0,40.0
64315314_227577365,1,0,0,0,0,0,0,0,0,0,0,0,53.0
28059983_88272578,1,0,0,0,0,0,0,0,0,0,0,0,50.0
108980873_122999558,0,0,0,0,0,0,0,0,1,0,0,0,2.0
53335367_237930674,0,0,0,0,1,0,0,0,0,0,0,0,28.0
104666221_236974579,1,0,0,0,0,0,0,0,0,0,0,0,64.0
21628254_396917940,0,0,0,0,1,0,0,0,0,0,0,0,36.0
18500740_120610887,1,0,0,0,0,0,0,0,0,0,0,0,62.0
10587282_338614623,1,0,0,0,0,0,0,0,0,0,0,0,59.0
109661928_223009960,0,0,0,0,1,0,0,0,0,0,0,0,25.0
55028609_91953461,0,0,0,0,0,0,0,0,1,0,0,0,6.0
56539218_226427440,1,0,0,0,0,0,0,0,0,0,0,0,50.0
22194714_36125121,0,0,0,0,0,1,0,0,0,0,0,0,36.0
123774176_366594069,0,0,0,0,0,0,0,0,0,1,0,0,14.0
13749945_236686522,0,0,0,0,0,0,0,0,1,0,0,0,4.0
30657582_302720046,1,0,0,0,0,0,0,0,0,0,0,0,50.0
30320472_313386568,0,0,0,0,0,0,0,0,1,0,0,0,19.0
113875946_172800731,1,0,0,0,0,0,0,0,0,0,0,0,58.0
124279451_65503454,0,0,0,0,0,0,0,0,1,0,0,0,3.0
32232253_210578665,0,0,0,0,1,0,0,0,0,0,0,0,48.0
110729320_130550232,0,0,0,0,1,0,0,0,0,0,0,0,39.0
105315608_370482485,1,0,0,0,0,0,0,0,0,0,0,0,50.0
132314192_373279830,0,0,0,0,1,0,0,0,0,0,0,0,32.0
52210649_48243383,0,0,0,0,1,0,0,0,0,0,0,0,32.0
138609379_300991619,1,0,0,0,0,0,0,0,0,0,0,0,63.0
16200838_151943779,0,0,0,0,0,0,0,0,1,0,0,0,2.0
130171916_304462693,0,0,0,0,1,0,0,0,0,0,0,0,27.0
51337822_179314747,1,0,0,0,0,0,0,0,0,0,0,0,70.0
47422577_290011762,0,0,0,0,1,0,0,0,0,0,0,0,28.0
50142094_86600746,1,0,0,0,0,0,0,0,0,0,0,0,72.0
57707871_347165887,0,0,0,0,1,0,0,0,0,0,0,0,29.0
139462789_49870317,1,0,0,0,0,0,0,0,0,0,0,0,50.0
61649702_228752198,0,0,0,0,0,0,0,0,1,0,0,0,2.0
135756156_213078991,1,0,0,0,0,0,0,0,0,0,0,0,60.0
53663822_349024631,0,1,0,0,0,0,0,0,0,0,0,0,57.0
16796200_118266462,0,1,0,0,0,0,0,0,0,0,0,0,50.0
40072066_143440331,0,0,0,0,1,0,0,0,0,0,0,0,25.0
38669357_50706689,0,0,0,0,1,0,0,0,0,0,0,0,26.0
58353516_243092214,1,0,0,0,0,0,0,0,0,0,0,0,59.0
114139508_351818748,0,0,0,0,0,0,0,0,1,0,0,0,13.0
55333352_56404232,1,0,0,0,0,0,0,0,0,0,0,0,62.0
64749963_122321757,0,0,0,0,0,0,0,0,0,1,0,0,12.0
5328638_99576746,1,0,0,0,0,0,0,0,0,0,0,0,66.0
112767187_72328021,0,0,0,0,0,0,0,0,1,0,0,0,15.0
64043093_339898976,1,0,0,0,0,0,0,0,0,0,0,0,63.0
38202023_90727154,1,0,0,0,0,0,0,0,0,0,0,0,57.0
37745255_404501500,0,0,0,0,1,0,0,0,0,0,0,0,29.0
104982265_310049338,0,0,0,0,0,0,0,0,1,0,0,0,1.0
133598399_137202733,0,0,0,0,0,0,0,0,1,0,0,0,8.0
142366506_9332384,0,0,0,0,0,0,0,0,1,0,0,0,8.0
62004362_353709579,0,0,0,0,1,0,0,0,0,0,0,0,28.0
110507044_150985163,0,0,0,0,0,0,0,0,1,0,0,0,11.0
38516732_198713077,0,0,0,0,0,1,0,0,0,0,0,0,27.0
138076917_95985106,1,0,0,0,0,0,0,0,0,0,0,0,49.0
11224698_53410219,1,0,0,0,0,0,0,0,0,0,0,0,62.0
55172237_144760268,0,0,0,0,0,0,0,0,1,0,0,0,3.0
58433784_55673828,0,0,0,0,1,0,0,0,0,0,0,0,34.0
121568891_30420395,1,0,0,0,0,0,0,0,0,0,0,0,64.0
54290714_301339331,0,0,0,0,1,0,0,0,0,0,0,0,48.0
23666668_188457447,0,0,0,0,1,0,0,0,0,0,0,0,31.0
31150789_163010468,0,0,0,0,0,0,0,0,1,0,0,0,10.0
115844210_402461535,0,0,0,0,0,0,0,0,1,0,0,0,11.0
134031879_271215634,0,0,0,0,1,0,0,0,0,0,0,0,28.0
104876086_128592424,0,0,0,0,1,0,0,0,0,0,0,0,38.0
100510510_39908274,1,0,0,0,0,0,0,0,0,0,0,0,53.0
29225615_323494130,0,0,0,0,0,0,0,0,1,0,0,0,14.0
43000288_377928300,0,0,0,0,1,0,0,0,0,0,0,0,27.0
140863667_124611752,0,0,0,0,0,0,0,0,1,0,0,0,8.0
51647720_378926746,1,0,0,0,0,0,0,0,0,0,0,0,49.0
36063452_74986921,0,0,0,0,0,0,0,0,1,0,0,0,15.0
59533935_186693269,0,0,0,0,1,0,0,0,0,0,0,0,28.0
49279626_34929314,1,0,0,0,0,0,0,0,0,0,0,0,56.0
122102897_393338210,0,0,0,0,0,0,0,0,1,0,0,0,10.0
134498433_132145279,0,0,0,0,1,0,0,0,0,0,0,0,28.0
117152864_221346759,0,0,0,0,0,0,0,0,1,0,0,0,5.0
112600231_295047996,0,0,0,0,0,0,0,0,1,0,0,0,20.0
44085641_252960157,0,0,0,0,0,0,0,0,1,0,0,0,1.0
41016082_350941040,0,0,0,0,1,0,0,0,0,0,0,0,25.0
22354167_326703790,0,0,0,0,0,0,0,0,1,0,0,0,2.0
55183043_45949119,1,0,0,0,0,0,0,0,0,0,0,0,50.0
105064625_266570485,0,0,0,0,1,0,0,0,0,0,0,0,26.0
126885129_394977642,0,0,0,0,0,0,0,0,1,0,0,0,15.0
15330397_20399378,0,0,0,0,1,0,0,0,0,0,0,0,31.0
13822014_1185827,0,0,0,0,0,0,0,0,1,0,0,0,24.0
117066530_21278249,0,0,0,0,1,0,0,0,0,0,0,0,39.0
131801027_102763165,0,0,0,0,0,0,0,0,1,0,0,0,24.0
118840767_82885912,0,0,0,0,0,0,0,0,1,0,0,0,11.0
46990304_217258026,0,0,0,0,1,0,0,0,0,0,0,0,32.0
51381793_311068550,0,0,0,0,1,0,0,0,0,0,0,0,32.0
134593008_355524174,1,0,0,0,0,0,0,0,0,0,0,0,60.0
6059291_42513102,1,0,0,0,0,0,0,0,0,0,0,0,58.0
36063452_294946805,0,0,0,0,1,0,0,0,0,0,0,0,35.0
10888848_172318983,0,0,0,0,0,0,0,0,1,0,0,0,2.0
12890676_68017768,0,0,0,0,1,0,0,0,0,0,0,0,37.0
16698082_159672336,0,0,0,0,0,0,0,0,1,0,0,0,8.0
47247563_141342743,0,0,0,0,1,0,0,0,0,0,0,0,33.0
18779575_112181817,1,0,0,0,0,0,0,0,0,0,0,0,58.0
120439555_33699321,0,0,0,0,0,0,0,0,0,0,1,0,22.0
140763800_174706364,0,0,0,0,1,0,0,0,0,0,0,0,29.0
57357240_263458530,0,0,0,0,0,0,0,0,1,0,0,0,3.0
117782967_114473496,1,0,0,0,0,0,0,0,0,0,0,0,49.0
64523469_238568566,0,0,0,0,1,0,0,0,0,0,0,0,26.0
111111136_252079394,0,0,0,0,1,0,0,0,0,0,0,0,35.0
113681975_190413894,0,0,0,0,1,0,0,0,0,0,0,0,30.0
127918452_106468593,0,0,0,0,0,0,0,0,1,0,0,0,11.0
42554269_384532425,0,0,0,0,1,0,0,0,0,0,0,0,36.0
12149436_392026640,0,0,0,0,1,0,0,0,0,0,0,0,27.0
19638047_157901717,1,0,0,0,0,0,0,0,0,0,0,0,49.0
134222724_301716804,0,0,0,0,1,0,0,0,0,0,0,0,30.0
63394577_238773844,0,0,0,0,1,0,0,0,0,0,0,0,28.0
104904346_30979522,0,0,0,0,0,0,0,0,1,0,0,0,4.0
121526027_243641846,1,0,0,0,0,0,0,0,0,0,0,0,59.0
14716705_105906397,0,0,0,0,0,0,0,0,1,0,0,0,21.0
43525076_27512568,1,0,0,0,0,0,0,0,0,0,0,0,56.0
16861045_351781802,0,0,0,0,1,0,0,0,0,0,0,0,38.0
33504649_278392665,1,0,0,0,0,0,0,0,0,0,0,0,59.0
42627340_236436963,0,0,0,0,0,0,0,0,1,0,0,0,14.0
129761844_99265955,0,0,0,0,0,0,0,0,1,0,0,0,9.0
119054304_384483274,0,0,0,0,0,0,0,0,1,0,0,0,9.0
52941353_369205211,1,0,0,0,0,0,0,0,0,0,0,0,61.0
124746041_171131023,0,0,0,0,0,0,0,0,1,0,0,0,3.0
20775882_65605022,1,0,0,0,0,0,0,0,0,0,0,0,60.0
4828274_139395147,0,0,0,0,1,0,0,0,0,0,0,0,28.0
55200326_320536089,0,0,0,0,1,0,0,0,0,0,0,0,41.0
25022629_277661532,0,0,0,0,1,0,0,0,0,0,0,0,26.0
108714854_402248152,0,0,0,0,0,0,0,0,1,0,0,0,6.0
111558415_155830553,0,0,0,0,1,0,0,0,0,0,0,0,36.0
108456086_196066027,1,0,0,0,0,0,0,0,0,0,0,0,68.0
42832540_10386953,0,0,0,0,1,0,0,0,0,0,0,0,25.0
43410835_339378698,0,0,0,0,1,0,0,0,0,0,0,0,27.0
34933759_209343119,0,0,0,1,0,0,0,0,0,0,0,0,
138012801_373050977,0,0,0,0,1,0,0,0,0,0,0,0,26.0
115782971_241488747,0,0,0,0,0,0,0,0,1,0,0,0,8.0
43255249_254774489,0,0,0,0,0,0,0,0,1,0,0,0,8.0
65175897_348586501,0,0,0,0,0,0,0,0,1,0,0,0,4.0
119571135_102128313,0,0,0,0,0,0,0,0,1,0,0,0,4.0
102542083_39707250,1,0,0,0,0,0,0,0,0,0,0,0,52.0
115475948_383847934,0,0,0,0,1,0,0,0,0,0,0,0,32.0
117038282_123288259,0,0,0,0,1,0,0,0,0,0,0,0,31.0
124060571_269761714,0,0,0,0,0,0,0,0,1,0,0,0,4.0
61720898_329824914,0,0,0,0,0,1,0,0,0,0,0,0,25.0
35699126_182687379,1,0,0,0,0,0,0,0,0,0,0,0,62.0
117460448_322854269,0,0,0,0,1,0,0,0,0,0,0,0,28.0
43525076_25221776,0,0,0,0,0,0,0,0,1,0,0,0,12.0
28228076_203282811,2,0,0,0,0,0,0,0,0,0,0,0,49.0
131801027_105893982,0,0,0,0,0,0,0,0,1,0,0,0,24.0
56850825_299759866,1,0,0,0,0,0,0,0,0,0,0,0,49.0
47560823_313111274,0,0,0,0,0,0,0,0,1,0,0,0,22.0
17947678_122988884,0,0,0,0,1,0,0,0,0,0,0,0,27.0
124752392_166558492,0,0,0,0,0,0,0,0,1,0,0,0,5.0
117909654_111617670,0,0,0,0,1,0,0,0,0,0,0,0,26.0
110239930_235091067,0,0,0,0,0,0,0,0,1,0,0,0,5.0
105700334_41741432,0,0,0,0,0,0,0,0,1,0,0,0,11.0
17321395_322840932,1,0,0,0,0,0,0,0,0,0,0,0,55.0
24083182_80688885,0,0,0,0,0,0,0,0,0,1,0,0,9.0
26367970_345542277,0,0,0,0,1,0,0,0,0,0,0,0,28.0
114489728_137814335,0,0,0,0,0,0,0,0,1,0,0,0,24.0
52877354_160585200,0,0,0,0,1,0,0,0,0,0,0,0,25.0
117853302_88853618,0,0,0,0,1,0,0,0,0,0,0,0,30.0
10823697_86452916,0,0,0,0,1,0,0,0,0,0,0,0,35.0
46770707_92335236,0,0,0,0,0,0,0,0,1,0,0,0,11.0
4547276_388355061,0,0,0,0,1,0,0,0,0,0,0,0,35.0
110507614_129194212,0,0,0,0,0,0,0,0,1,0,0,0,3.0
28865588_54428838,0,0,0,0,1,0,0,0,0,0,0,0,32.0
25122343_267451924,1,0,0,0,0,0,0,0,0,0,0,0,64.0
134236257_11207674,0,0,0,0,0,0,0,0,1,0,0,0,12.0
55474154_280733902,1,0,0,0,0,0,0,0,0,0,0,0,62.0
123035069_213735940,0,0,0,0,1,0,0,0,0,0,0,0,37.0
38575271_121076875,0,0,0,0,0,0,0,0,1,0,0,0,2.0
122031725_356467258,1,0,0,0,0,0,0,0,0,0,0,0,54.0
10492218_191663440,1,0,0,0,0,0,0,0,0,0,0,0,56.0
15592972_11523019,0,0,0,0,1,0,0,0,0,0,0,0,33.0
105456695_346984020,0,0,0,0,0,0,0,0,1,0,0,0,1.0
13799559_262116230,1,0,0,0,0,0,0,0,0,0,0,0,57.0
34860934_390655268,1,0,0,0,0,0,0,0,0,0,0,0,70.0
19269632_63888192,0,0,0,0,1,0,0,0,0,0,0,0,48.0
47222483_223334787,0,0,0,0,0,0,0,0,1,0,0,0,4.0
133264034_340656965,0,0,0,0,1,0,0,0,0,0,0,0,26.0
58192059_145233386,0,0,0,0,0,0,0,0,1,0,0,0,13.0
141494948_160957612,0,0,0,0,1,0,0,0,0,0,0,0,28.0
57386790_222582348,1,0,0,0,0,0,0,0,0,0,0,0,58.0
57667332_339101753,1,0,0,0,0,0,0,0,0,0,0,0,51.0
39799124_32415893,1,0,0,0,0,0,0,0,0,0,0,0,51.0
50515867_130945960,0,0,0,0,0,0,0,0,1,0,0,0,3.0
130247942_193400019,0,0,0,0,0,0,0,0,0,1,0,0,8.0
120278269_44270812,0,0,1,0,0,0,0,0,0,0,0,0,51.0
29611928_395838982,0,0,0,0,0,0,0,0,1,0,0,0,2.0
140943878_138110618,0,0,0,0,1,0,0,0,0,0,0,0,27.0
108456086_198703773,0,0,0,0,0,0,0,0,1,0,0,0,12.0
49706772_290374683,0,0,0,0,1,0,0,0,0,0,0,0,29.0
19448864_363548602,0,0,0,0,0,0,1,0,0,0,0,0,35.0
12994950_369028601,1,0,0,0,0,0,0,0,0,0,0,0,58.0
22061517_94913976,1,0,0,0,0,0,0,0,0,0,0,0,63.0
29599100_256604457,0,0,0,0,1,0,0,0,0,0,0,0,36.0
128024751_172329495,0,0,0,0,0,0,0,0,1,0,0,0,13.0
30020265_50963838,1,0,0,0,0,0,0,0,0,0,0,0,63.0
141526457_82125283,0,0,0,0,0,0,0,0,1,0,0,0,20.0
111157306_330489435,1,0,0,0,0,0,0,0,0,0,0,0,65.0
117835509_297034878,0,0,0,0,0,0,0,0,1,0,0,0,17.0
115254536_275908281,0,0,0,0,0,0,0,0,1,0,0,0,20.0
141592952_389636807,0,0,0,0,1,0,0,0,0,0,0,0,33.0
20963754_5905771,1,0,0,0,0,0,0,0,0,0,0,0,51.0
100996825_268213764,0,0,0,0,0,0,0,0,1,0,0,0,2.0
36575177_22165267,1,0,0,0,0,0,0,0,0,0,0,0,51.0
21554109_306065637,0,0,0,0,0,0,0,0,1,0,0,0,18.0
126335613_321816993,0,0,0,0,1,0,0,0,0,0,0,0,26.0
129398502_313169536,0,0,0,0,1,0,0,0,0,0,0,0,41.0
117038282_246901760,0,0,0,0,1,0,0,0,0,0,0,0,35.0
128364630_101197657,0,0,0,0,1,0,0,0,0,0,0,0,37.0
17939047_169939390,0,0,0,0,0,0,0,0,1,0,0,0,2.0
118733970_82191902,0,0,0,0,0,0,0,0,1,0,0,0,2.0
35152402_96964490,0,0,0,0,0,0,0,0,1,0,0,0,4.0
35483999_38356274,0,0,0,0,1,0,0,0,0,0,0,0,33.0
139598560_29199001,0,0,0,0,0,0,0,0,1,0,0,0,16.0
29592992_300954115,0,0,0,0,0,0,0,0,1,0,0,0,7.0
118444341_112774670,0,0,0,0,0,0,0,0,1,0,0,0,7.0
61583618_396613696,0,0,0,0,1,0,0,0,0,0,0,0,31.0
61640288_5525772,1,0,0,0,0,0,0,0,0,0,0,0,52.0
34860934_398243337,0,0,0,0,1,0,0,0,0,0,0,0,37.0
129034389_94239953,1,0,0,0,0,0,0,0,0,0,0,0,51.0
141089654_100478848,0,0,0,0,1,0,0,0,0,0,0,0,34.0
131969873_343906320,1,0,0,0,0,0,0,0,0,0,0,0,52.0
25088701_241646087,1,0,0,0,0,0,0,0,0,0,0,0,51.0
121857893_12881348,0,0,0,0,1,0,0,0,0,0,0,0,27.0
40940335_25174792,0,0,0,0,0,0,0,0,1,0,0,0,2.0
140129072_97578487,0,0,0,0,1,0,0,0,0,0,0,0,25.0
38973977_299314735,1,0,0,0,0,0,0,0,0,0,0,0,52.0
20625528_225306964,0,0,0,0,1,0,0,0,0,0,0,0,38.0
36656480_315735902,0,0,0,0,0,0,0,0,1,0,0,0,2.0
105049007_217476156,1,0,0,0,0,0,0,0,0,0,0,0,62.0
10587225_392744679,1,0,0,0,0,0,0,0,0,0,0,0,52.0
1273897_252466783,0,0,0,0,1,0,0,0,0,0,0,0,39.0
10125924_40144788,0,0,0,0,1,0,0,0,0,0,0,0,48.0
59839614_110462511,0,0,0,0,0,0,0,0,1,0,0,0,1.0
101321698_364655283,1,0,0,0,0,0,0,0,0,0,0,0,63.0
24050440_257985909,0,0,0,0,0,0,0,0,0,0,1,0,13.0
112945972_36301651,0,0,0,0,0,0,1,0,0,0,0,0,27.0
17652577_350622370,0,0,0,0,0,0,0,0,1,0,0,0,4.0
12189507_229645998,0,0,0,0,0,0,0,0,0,0,1,0,1.0
38636216_197797659,0,0,0,0,1,0,0,0,0,0,0,0,29.0
107266523_31908622,0,0,0,0,1,0,0,0,0,0,0,0,28.0
53314277_402801126,0,0,0,0,0,0,0,0,1,0,0,0,4.0
32267218_47639159,0,0,0,0,1,0,0,0,0,0,0,0,27.0
27604523_88654907,1,0,0,0,0,0,0,0,0,0,0,0,61.0
40362103_234259916,0,0,0,0,1,0,0,0,0,0,0,0,34.0
24163963_105522113,0,0,0,0,1,0,0,0,0,0,0,0,27.0
103336360_221367238,1,0,0,0,0,0,0,0,0,0,0,0,65.0
136286592_296946156,0,0,0,0,1,0,0,0,0,0,0,0,34.0
30859557_124605525,0,0,0,0,1,0,0,0,0,0,0,0,31.0
17068450_226143296,0,0,0,0,0,0,0,0,1,0,0,0,2.0
112647019_53213856,0,0,0,0,0,0,0,0,1,0,0,0,24.0
57357240_213819900,1,0,0,0,0,0,0,0,0,0,0,0,71.0
57357240_370292676,1,0,0,0,0,0,0,0,0,0,0,0,71.0
1732255_60471492,0,0,0,0,1,0,0,0,0,0,0,0,26.0
43554398_15603100,0,0,0,0,0,0,0,0,1,0,0,0,2.0
44869895_355785522,0,0,0,0,1,0,0,0,0,0,0,0,35.0
116550278_371030174,0,0,0,0,0,0,0,0,1,0,0,0,4.0
25286173_29417059,0,0,0,0,0,0,0,0,1,0,0,0,9.0
28415501_89939233,0,0,0,0,0,0,0,0,1,0,0,0,16.0
25379071_305172553,0,0,0,0,0,0,0,0,1,0,0,0,14.0
2228206_329878859,0,0,0,0,1,0,0,0,0,0,0,0,27.0
109870377_210533505,0,0,0,0,1,0,0,0,0,0,0,0,33.0
51337822_115476033,0,0,0,0,0,0,0,0,1,0,0,0,24.0
27739031_390381824,1,0,0,0,0,0,0,0,0,0,0,0,53.0
32488687_320058737,0,0,0,0,0,0,0,0,1,0,0,0,5.0
110559166_161475194,1,0,0,0,0,0,0,0,0,0,0,0,60.0
49818651_156153777,1,0,0,0,0,0,0,0,0,0,0,0,50.0
62561606_146303554,0,0,0,0,0,0,0,0,1,0,0,0,2.0
109499453_6996465,1,0,0,0,0,0,0,0,0,0,0,0,51.0
105833930_350674375,1,0,0,0,0,0,0,0,0,0,0,0,51.0
111108766_300225440,0,0,0,0,1,0,0,0,0,0,0,0,30.0
5696081_40925144,1,0,0,0,0,0,0,0,0,0,0,0,51.0
30184494_298670687,0,0,0,0,1,0,0,0,0,0,0,0,26.0
14146557_109367165,0,0,0,0,0,0,0,0,1,0,0,0,6.0
111174406_152644003,1,0,0,0,0,0,0,0,0,0,0,0,65.0
103226533_352685391,0,0,0,0,1,0,0,0,0,0,0,0,30.0
60278495_254710850,1,0,0,0,0,0,0,0,0,0,0,0,59.0
2454724_220771966,0,0,0,0,1,0,0,0,0,0,0,0,29.0
4979759_45750911,0,0,0,0,1,0,0,0,0,0,0,0,48.0
134112555_327112771,0,0,0,0,0,1,0,0,0,0,0,0,45.0
51381793_174038613,0,0,0,0,1,0,0,0,0,0,0,0,35.0
64829547_7550281,1,0,0,0,0,0,0,0,0,0,0,0,53.0
117300095_96884074,0,0,0,0,1,0,0,0,0,0,0,0,28.0
15508531_346642754,0,0,0,0,1,0,0,0,0,0,0,0,29.0
14640189_283604495,0,0,0,0,1,0,0,0,0,0,0,0,38.0
137344506_162990089,0,0,0,0,1,0,0,0,0,0,0,0,26.0
4535225_357551840,0,0,0,0,1,0,0,0,0,0,0,0,38.0
127931904_86943540,0,0,0,0,1,0,0,0,0,0,0,0,48.0
141940847_211674521,0,0,0,0,1,0,0,0,0,0,0,0,32.0
50102935_401691276,1,0,0,0,0,0,0,0,0,0,0,0,50.0
23836480_287523683,0,0,0,0,0,0,0,0,1,0,0,0,5.0
12323091_149187267,0,0,0,0,1,0,0,0,0,0,0,0,29.0
101490976_284878759,1,0,0,0,0,0,0,0,0,0,0,0,62.0
39286991_159973769,0,0,0,0,1,0,0,0,0,0,0,0,33.0
20623248_187550611,1,0,0,0,0,0,0,0,0,0,0,0,60.0
47171936_95191686,0,0,0,0,1,0,0,0,0,0,0,0,27.0
60423170_364624802,0,0,0,0,0,0,0,0,1,0,0,0,19.0
111676246_151233594,0,0,0,0,0,0,0,0,1,0,0,0,4.0
132626507_319018723,1,0,0,0,0,0,0,0,0,0,0,0,52.0
28830167_356398547,0,0,0,0,0,0,0,0,1,0,0,0,21.0
5086352_179585373,0,0,0,0,0,0,0,0,1,0,0,0,7.0
141875090_19927220,1,0,0,0,0,0,0,0,0,0,0,0,49.0
103337719_218519593,0,0,0,0,1,0,0,0,0,0,0,0,48.0
17980234_179214746,1,0,0,0,0,0,0,0,0,0,0,0,51.0
26894059_308603458,0,0,0,0,1,0,0,0,0,0,0,0,27.0
369327_253331066,0,0,0,0,0,0,0,0,1,0,0,0,1.0
18315139_268469506,0,0,0,0,0,0,0,0,1,0,0,0,4.0
128760885_355624974,1,0,0,0,0,0,0,0,0,0,0,0,61.0
138961180_284608420,0,0,0,0,0,0,0,0,1,0,0,0,3.0
122816216_288033319,1,0,0,0,0,0,0,0,0,0,0,0,53.0
56272080_2480019,1,0,0,0,0,0,0,0,0,0,0,0,51.0
31115344_194434354,0,0,0,0,0,0,0,0,1,0,0,0,11.0
12215373_128810051,0,0,0,0,0,0,0,0,1,0,0,0,4.0
120812002_51077824,1,0,0,0,0,0,0,0,0,0,0,0,58.0
138796450_223240484,1,0,0,0,0,0,0,0,0,0,0,0,62.0
104068372_109533290,0,0,0,0,0,0,0,0,1,0,0,0,9.0
58308738_296606409,0,0,0,0,1,0,0,0,0,0,0,0,37.0
57882873_285640549,1,0,0,0,0,0,0,0,0,0,0,0,66.0
109870377_7745708,0,0,0,0,1,0,0,0,0,0,0,0,31.0
37503323_202051510,0,0,0,0,0,0,0,0,1,0,0,0,7.0
57964566_119005079,0,0,0,0,1,0,0,0,0,0,0,0,37.0
124349150_14066450,0,0,0,0,1,0,0,0,0,0,0,0,42.0
106508942_385448305,0,0,0,0,0,0,0,0,1,0,0,0,2.0
41976772_183487391,1,0,0,0,0,0,0,0,0,0,0,0,53.0
134299356_296680590,0,0,0,0,0,0,0,0,1,0,0,0,14.0
119849592_353247316,1,0,0,0,0,0,0,0,0,0,0,0,57.0
37454543_87229465,1,0,0,0,0,0,0,0,0,0,0,0,57.0
25730704_249308745,0,0,0,0,0,0,0,0,1,0,0,0,12.0
103713976_11031661,0,0,0,0,0,0,0,0,1,0,0,0,7.0
129441411_295437480,0,0,0,0,0,0,0,1,0,0,0,0,
1162426_47529813,0,0,0,0,1,0,0,0,0,0,0,0,33.0
106788437_249433296,0,0,0,0,1,0,0,0,0,0,0,0,25.0
21405360_29189102,0,0,0,0,1,0,0,0,0,0,0,0,42.0
125034299_161694589,0,0,0,0,0,0,0,0,1,0,0,0,13.0
62909306_149631264,1,0,0,0,0,0,0,0,0,0,0,0,54.0
104528944_283638010,0,0,0,0,1,0,0,0,0,0,0,0,42.0
22820098_101002877,1,0,0,0,0,0,0,0,0,0,0,0,64.0
41003965_77070828,0,0,0,0,0,0,0,0,1,0,0,0,7.0
